date,沪深300,纳指100,黄金
2023-02-08,4.073,0.882,4.01
2023-02-09,4.127,0.873,4.019
2023-02-10,4.103,0.86,3.993
2023-02-13,4.135,0.859,4.018
2023-02-14,4.144,0.871,4.015
2023-02-15,4.116,0.873,4.002
2023-02-16,4.087,0.89,4.001
2023-02-17,4.029,0.865,3.992
2023-02-20,4.134,0.868,4.01
2023-02-21,4.139,0.866,4.005
2023-02-22,4.099,0.85,4.017
2023-02-23,4.099,0.857,4.008
2023-02-24,4.06,0.86,4.021
2023-02-27,4.045,0.852,4.01
2023-02-28,4.071,0.855,4.015
2023-03-01,4.12,0.852,4.029
2023-03-02,4.115,0.84,4.026
2023-03-03,4.124,0.849,4.044
2023-03-06,4.099,0.871,4.071
2023-03-07,4.042,0.872,4.076
2023-03-08,4.026,0.864,4.033
2023-03-09,4.016,0.868,4.033
2023-03-10,3.961,0.848,4.061
2023-03-13,4.005,0.854,4.089
2023-03-14,3.98,0.841,4.142
2023-03-15,3.979,0.859,4.139
2023-03-16,3.933,0.863,4.174
2023-03-17,3.954,0.884,4.198
2023-03-20,3.932,0.873,4.327
2023-03-21,3.975,0.882,4.286
2023-03-22,3.993,0.895,4.223
2023-03-23,4.031,0.884,4.253
2023-03-24,4.026,0.891,4.275
2023-03-27,4.005,0.899,4.246
2023-03-28,3.997,0.893,4.225
2023-03-29,3.997,0.893,4.24
2023-03-30,4.04,0.903,4.248
2023-03-31,4.05,0.908,4.281
2023-04-03,4.08,0.92,4.221
2023-04-04,4.1,0.922,4.269
2023-04-06,4.088,0.906,4.33
2023-04-07,4.117,0.914,4.328
2023-04-10,4.102,0.91,4.287
2023-04-11,4.092,0.915,4.311
2023-04-12,4.088,0.908,4.341
2023-04-13,4.063,0.902,4.346
2023-04-14,4.084,0.91,4.366
2023-04-17,4.145,0.914,4.324
2023-04-18,4.152,0.914,4.305
2023-04-19,4.119,0.912,4.297
2023-04-20,4.103,0.912,4.308
2023-04-21,4.03,0.908,4.288
2023-04-24,3.979,0.906,4.277
2023-04-25,3.96,0.906,4.316
2023-04-26,3.951,0.904,4.323
2023-04-27,3.986,0.905,4.333
2023-04-28,4.025,0.923,4.298
2023-05-04,4.025,0.918,4.395
2023-05-05,4.009,0.916,4.415
2023-05-08,4.054,0.93,4.368
2023-05-09,4.019,0.93,4.377
2023-05-10,3.988,0.93,4.398
2023-05-11,3.983,0.942,4.394
2023-05-12,3.932,0.946,4.365
2023-05-15,3.995,0.944,4.382
2023-05-16,3.978,0.947,4.369
2023-05-17,3.951,0.953,4.353
2023-05-18,3.95,0.968,4.345
2023-05-19,3.944,0.99,4.33
2023-05-22,3.964,0.984,4.347
2023-05-23,3.907,0.992,4.33
2023-05-24,3.854,0.977,4.352
2023-05-25,3.845,0.993,4.335
2023-05-26,3.85,0.996,4.31
2023-05-29,3.834,1.032,4.314
2023-05-30,3.838,1.035,4.3
2023-05-31,3.802,1.031,4.365
2023-06-01,3.81,1.03,4.362
2023-06-02,3.863,1.043,4.375
2023-06-05,3.845,1.048,4.324
2023-06-06,3.808,1.049,4.357
2023-06-07,3.796,1.052,4.363
2023-06-08,3.828,1.03,4.338
2023-06-09,3.844,1.047,4.375
2023-06-12,3.848,1.059,4.378
2023-06-13,3.877,1.085,4.388
2023-06-14,3.877,1.086,4.363
2023-06-15,3.942,1.091,4.329
2023-06-16,3.979,1.1,4.359
2023-06-19,3.949,1.096,4.366
2023-06-20,3.942,1.095,4.374
2023-06-21,3.887,1.1,4.356
2023-06-26,3.843,1.091,4.354
2023-06-27,3.869,1.076,4.35
2023-06-28,3.877,1.09,4.335
2023-06-29,3.859,1.099,4.343
2023-06-30,3.882,1.1,4.349
2023-07-03,3.927,1.118,4.358
2023-07-04,3.934,1.112,4.364
2023-07-05,3.907,1.11,4.367
2023-07-06,3.879,1.111,4.365
2023-07-07,3.868,1.106,4.359
2023-07-10,3.884,1.095,4.37
2023-07-11,3.91,1.101,4.374
2023-07-12,3.891,1.102,4.371
2023-07-13,3.954,1.118,4.408
2023-07-14,3.952,1.126,4.388
2023-07-17,3.924,1.132,4.406
2023-07-18,3.918,1.142,4.422
2023-07-19,3.916,1.163,4.473
2023-07-20,3.888,1.147,4.47
2023-07-21,3.89,1.128,4.453
2023-07-24,3.873,1.132,4.442
2023-07-25,3.985,1.128,4.42
2023-07-26,3.976,1.131,4.439
2023-07-27,3.972,1.141,4.448
2023-07-28,4.068,1.134,4.404
2023-07-31,4.084,1.149,4.409
2023-08-01,4.066,1.153,4.426
2023-08-02,4.037,1.137,4.425
2023-08-03,4.073,1.118,4.406
2023-08-04,4.094,1.128,4.401
2023-08-07,4.063,1.118,4.41
2023-08-08,4.048,1.12,4.414
2023-08-09,4.04,1.119,4.411
2023-08-10,4.045,1.109,4.396
2023-08-11,3.95,1.11,4.415
2023-08-14,3.923,1.103,4.421
2023-08-15,3.919,1.124,4.431
2023-08-16,3.889,1.112,4.433
2023-08-17,3.902,1.104,4.429
2023-08-18,3.852,1.083,4.421
2023-08-21,3.8,1.086,4.438
2023-08-22,3.823,1.104,4.431
2023-08-23,3.768,1.104,4.452
2023-08-24,3.791,1.134,4.464
2023-08-25,3.784,1.091,4.448
2023-08-28,3.837,1.105,4.45
2023-08-29,3.859,1.111,4.462
2023-08-30,3.858,1.135,4.477
2023-08-31,3.839,1.14,4.494
2023-09-01,3.862,1.139,4.489
2023-09-04,3.92,1.142,4.506
2023-09-05,3.893,1.141,4.508
2023-09-06,3.883,1.143,4.505
2023-09-07,3.83,1.134,4.504
2023-09-08,3.809,1.141,4.536
2023-09-11,3.837,1.134,4.545
2023-09-12,3.832,1.141,4.546
2023-09-13,3.807,1.128,4.557
2023-09-14,3.804,1.136,4.592
2023-09-15,3.787,1.142,4.548
2023-09-18,3.8,1.124,4.524
2023-09-19,3.795,1.123,4.559
2023-09-20,3.777,1.124,4.594
2023-09-21,3.742,1.103,4.58
2023-09-22,3.817,1.092,4.561
2023-09-25,3.789,1.094,4.581
2023-09-26,3.768,1.085,4.578
2023-09-27,3.778,1.081,4.511
2023-09-28,3.764,1.08,4.436
2023-10-09,3.754,1.096,4.405
2023-10-10,3.727,1.111,4.348
2023-10-11,3.735,1.118,4.355
2023-10-12,3.771,1.128,4.39
2023-10-13,3.736,1.122,4.405
2023-10-16,3.693,1.111,4.46
2023-10-17,3.705,1.119,4.48
2023-10-18,3.677,1.114,4.523
2023-10-19,3.6,1.1,4.547
2023-10-20,3.582,1.086,4.597
2023-10-23,3.544,1.079,4.572
2023-10-24,3.549,1.086,4.575
2023-10-25,3.569,1.082,4.557
2023-10-26,3.582,1.049,4.59
2023-10-27,3.636,1.053,4.599
2023-10-30,3.652,1.055,4.609
2023-10-31,3.644,1.054,4.62
2023-11-01,3.642,1.069,4.603
2023-11-02,3.625,1.091,4.613
2023-11-03,3.653,1.099,4.61
2023-11-06,3.701,1.111,4.587
2023-11-07,3.69,1.11,4.569
2023-11-08,3.679,1.12,4.551
2023-11-09,3.682,1.127,4.521
2023-11-10,3.655,1.116,4.554
2023-11-13,3.65,1.14,4.538
2023-11-14,3.65,1.144,4.558
2023-11-15,3.675,1.164,4.577
2023-11-16,3.639,1.159,4.559
2023-11-17,3.634,1.161,4.572
2023-11-20,3.645,1.145,4.522
2023-11-21,3.65,1.158,4.516
2023-11-22,3.611,1.15,4.499
2023-11-23,3.63,1.156,4.495
2023-11-24,3.605,1.157,4.499
2023-11-27,3.581,1.151,4.546
2023-11-28,3.585,1.154,4.56
